LONGITUD LATITUDE NUM_PICK FARE_PIC TIP_PICK FPD_PICK TPD_PICK TPF_PICK NUM_DROP FARE_DRO FARE_TIP FPD_DROP TPD_DROP TPF_DROP
 -73.960   40.700       86   12.209    1.503    4.948    0.518    0.123      276   16.829    1.050    4.266    0.294    0.062
 -73.960   40.710      654   12.807    1.717    5.324    0.674    0.134      923   14.721    1.832    4.617    0.594    0.124
 -73.960   40.720      175   11.862    1.846    5.461    0.775    0.156      620   16.090    2.177    4.304    0.555    0.135
 -73.960   40.730      140   10.979    1.546    5.140    0.657    0.141      372   16.205    2.286    4.191    0.583    0.141
 -73.960   40.740      453   14.743    2.389    5.712    0.849    0.162      671   13.352    1.998    5.296    0.684    0.150
 -73.960   40.750      664    9.703    0.991    6.593    0.605    0.102      742   10.376    1.174    6.390    0.674    0.113
 -73.960   40.760    29155   10.393    1.234    6.347    0.711    0.119    25522    9.758    1.061    6.817    0.691    0.109
 -73.960   40.770    50529    9.144    1.105    6.502    0.756    0.121    38705    7.940    0.925    6.806    0.771    0.116
 -73.960   40.780    29460    9.666    1.140    6.254    0.712    0.118    28875    8.839    0.998    6.156    0.697    0.113
 -73.960   40.790     1808   10.346    1.119    6.624    0.585    0.108     2333   10.206    1.119    6.525    0.591    0.110
 -73.960   40.800     2140   10.393    1.217    5.345    0.572    0.117     2769   10.494    1.126    5.196    0.517    0.107
 -73.960   40.810     1274   10.661    1.225    5.728    0.577    0.115     1618   11.305    1.075    5.466    0.465    0.095
 -73.960   40.820      761   13.144    1.381    5.207    0.445    0.105      561   14.294    1.370    4.693    0.383    0.096
 -73.960   40.830        1   33.500    0.000    3.681    0.000    0.000        1   13.500    0.000    3.214    0.000    0.000
 -73.960   40.840        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.960   40.850        1   71.750    0.000    9.829    0.000    0.000        1   87.000    0.000    3.441    0.000    0.000
 -73.960   40.860        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.960   40.870        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.950   40.680       17   14.471    1.549    4.948    0.516    0.107       79   21.454    2.138    4.078    0.392    0.100
 -73.950   40.690       25   12.720    1.287    4.971    0.526    0.101       84   18.282    2.044    6.317    0.899    0.112
 -73.950   40.700       45   12.909    1.617    5.466    0.739    0.125      185   17.722    1.924    4.336    0.411    0.109
 -73.950   40.710      142   11.871    1.392    5.496    0.674    0.117      328   16.555    2.036    4.785    0.598    0.123
 -73.950   40.720      112   11.548    1.629    5.291    0.716    0.141      275   16.565    2.466    4.192    0.594    0.149
 -73.950   40.730       16   25.125    4.710   10.155    1.803    0.187       80   15.569    2.291    4.840    0.667    0.147
 -73.950   40.740      395   12.130    1.499    8.920    0.754    0.124      765   11.882    1.563    6.241    0.659    0.132
 -73.950   40.750      669   11.291    1.113    4.963    0.437    0.099      596   10.326    1.186    5.546    0.543    0.115
 -73.950   40.760       89   12.298    1.562    5.509    0.504    0.127      246   12.188    1.315    5.435    0.584    0.108
 -73.950   40.770    18317   10.123    1.180    5.814    0.651    0.117     9233    8.592    1.011    6.399    0.736    0.118
 -73.950   40.780     8714   10.492    1.189    5.697    0.619    0.113     5160    9.092    0.965    5.957    0.617    0.106
 -73.950   40.790     2303   10.259    0.906    6.340    0.528    0.088     2351    9.300    0.700    6.066    0.480    0.075
 -73.950   40.800     1093   10.595    1.039    5.750    0.467    0.098     2441   11.193    1.055    5.049    0.417    0.094
 -73.950   40.810      570   10.219    1.113    5.587    0.559    0.109     1148   13.015    0.942    4.699    0.330    0.072
 -73.950   40.820      392   11.902    1.361    5.080    0.451    0.114      855   14.453    1.228    4.567    0.374    0.085
 -73.950   40.830      479   14.451    1.556    4.728    0.421    0.108      668   17.965    1.662    4.075    0.337    0.093
 -73.950   40.840      236   17.905    2.267    4.684    0.435    0.127     1186   22.144    2.610    3.636    0.413    0.118
 -73.950   40.850        6   32.833    4.548   47.836    9.921    0.139       42   21.310    2.566    3.345    0.392    0.120
 -73.950   40.860        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.950   40.870        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.940   40.680        6   19.667    3.640    4.328    0.718    0.185       51   20.661    1.988    4.028    0.373    0.096
 -73.940   40.690       32   13.328    1.475    5.887    0.694    0.111       98   19.874    1.327    4.494    0.405    0.067
 -73.940   40.700       37   14.770    2.246    5.244    0.785    0.152      117   19.581    2.364    4.269    0.521    0.121
 -73.940   40.710        8   16.025    1.556    6.814    0.289    0.097       82   18.887    2.561    4.152    0.517    0.136
 -73.940   40.720        5    9.300    1.272    4.314    0.494    0.137       47   17.717    3.031    4.131    0.588    0.171
 -73.940   40.730       31   30.597    3.423    9.918    1.082    0.112       79   13.810    1.819    4.920    0.519    0.132
 -73.940   40.740      332   11.611    1.077    6.127    0.479    0.093      516   12.361    1.535    5.948    0.627    0.124
 -73.940   40.750      869   11.692    1.137    9.548    0.570    0.097      630   10.941    1.006    9.710    0.509    0.092
 -73.940   40.760      534   10.594    1.003    5.198    0.448    0.095      328   10.708    0.863    5.257    0.379    0.081
 -73.940   40.770       15   10.700    0.951    5.484    0.442    0.089       47   10.979    0.742    4.922    0.406    0.068
 -73.940   40.780       19   17.921    2.613    9.197    1.501    0.146       52    9.308    0.537    4.577    0.288    0.058
 -73.940   40.790     1004   10.167    0.876    5.559    0.377    0.086     2164   10.161    0.870    4.733    0.380    0.086
 -73.940   40.800      811    9.585    0.791    6.200    2.153    0.083     2513   10.184    1.161    4.826    1.080    0.114
 -73.940   40.810      268   10.369    0.847    5.346    0.368    0.082      445   14.386    1.108    4.412    0.406    0.077
 -73.940   40.820      117   10.474    0.742    5.547    0.319    0.071      288   16.076    1.250    4.375    0.314    0.078
 -73.940   40.830        9   11.278    1.808    4.131    0.524    0.160       95   18.437    1.468    4.090    0.262    0.080
 -73.940   40.840      167   15.816    1.867    4.558    0.449    0.118      500   20.763    1.994    3.676    0.324    0.096
 -73.940   40.850       92   16.440    1.672    5.053    0.447    0.102      361   21.824    2.393    4.277    0.525    0.110
 -73.940   40.860        6   27.250    3.877    3.522    0.518    0.142       48   24.615    1.468    3.396    0.172    0.060
 -73.940   40.870        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.930   40.680       17   13.471    1.285    5.257    0.486    0.095       50   20.240    1.150    4.424    0.360    0.057
 -73.930   40.690       34   11.932    1.322    6.118    0.549    0.111       73   19.432    1.787    4.663    0.457    0.092
 -73.930   40.700       13   11.269    1.673    5.348    0.635    0.148       97   20.543    2.649    4.130    0.545    0.129
 -73.930   40.710        1    5.000    0.000    5.882    0.000    0.000        4   24.750    2.600    4.133    0.404    0.105
 -73.930   40.720        3   34.500    3.333    4.874    0.119    0.097       10   22.350    2.295    4.119    0.307    0.103
 -73.930   40.730       12   33.875    3.305    6.805    0.577    0.098       59   15.669    1.178    4.477    0.331    0.075
 -73.930   40.740      791   13.531    1.306    5.669    0.461    0.096      314   12.980    1.068    6.485    0.346    0.082
 -73.930   40.750      251   10.997    1.201    5.731    0.666    0.109      570   11.095    1.029    5.304    0.442    0.093
 -73.930   40.760     1152   12.860    1.430    5.175    0.507    0.111      742   12.653    1.288    5.304    0.536    0.102
 -73.930   40.770      452   12.701    1.473    5.017    0.567    0.116      178   13.823    1.435    5.211    0.550    0.104
 -73.930   40.780        6   35.167    8.578    5.978    1.391    0.244       11   21.227    4.040    3.377    0.697    0.190
 -73.930   40.790       25   27.060    4.922    8.344    1.100    0.182       28   15.196    2.353    5.538    0.513    0.155
 -73.930   40.800       67   16.943    1.245    5.095    0.380    0.073       86   13.849    1.601    3.888    0.395    0.116
 -73.930   40.810       77    9.779    0.794    7.333    0.486    0.081      165   14.418    1.326    5.399    0.386    0.092
 -73.930   40.820       32   11.109    0.979    5.341    0.300    0.088      187   19.605    1.914    3.635    0.355    0.098
 -73.930   40.830       13   12.900    1.105    5.289    0.248    0.086       71   21.944    1.546    3.649    0.272    0.070
 -73.930   40.840        4    9.125    0.762    4.495    0.254    0.084       27   21.981    1.182    3.548    0.199    0.054
 -73.930   40.850        3   20.167    0.000    3.842    0.000    0.000       88   23.494    1.758    3.398    0.258    0.075
 -73.930   40.860       27   21.556    3.121    4.146    0.451    0.145      183   24.511    2.096    3.237    0.279    0.085
 -73.930   40.870        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.920   40.680        9   11.500    1.413    6.832    0.434    0.123       36   25.311    2.244    4.354    0.364    0.089
 -73.920   40.690        6   21.833    5.000    8.438    2.083    0.229       36   25.569    2.787    4.421    0.666    0.109
 -73.920   40.700        5   17.100    0.200    4.604    0.087    0.012       34   22.912    2.023    4.001    0.382    0.088
 -73.920   40.710        3   10.333    0.517    4.950    0.123    0.050       10   22.820    4.222    3.660    0.524    0.185
 -73.920   40.720        0    0.000    0.000    0.000    0.000    0.000        0    0.000    0.000    0.000    0.000    0.000
 -73.920   40.730       13   20.962    0.954    5.396    0.264    0.046       28   16.179    1.407    4.898    0.319    0.087
 -73.920   40.740      605   14.295    1.195    4.917    0.380    0.084      296   13.882    1.141    5.154    0.341    0.082
 -73.920   40.750      183   11.273    1.091    5.628    0.417    0.097      390   10.638    0.739    5.291    0.363    0.069
 -73.920   40.760      375   12.417    1.391    5.471    0.545    0.112      580   13.937    1.428    5.119    0.480    0.102
 -73.920   40.770      284   13.713    1.657    5.295    0.558    0.121      371   13.899    1.748    5.311    0.628    0.126
 -73.920   40.780       30   11.167    1.196    4.885    0.593    0.107       53   14.953    1.751    4.699    0.471    0.117
 -73.920   40.790        5   19.340    2.524    6.980    0.764    0.131       29   14.300    2.496    3.838    0.582    0.175
 -73.920   40.800        1   14.500    0.000    3.428    0.000    0.000       63   15.833    1.490    3.920    0.373    0.094
 -73.920   40.810       24    9.729    1.251    5.505    0.549    0.129      108   15.903    1.411    4.353    0.349    0.089
 -73.920   40.820       21    9.581    0.996    5.440    0.375    0.104       72   19.062    1.679    4.409    0.313    0.088
 -73.920   40.830        7   18.571    0.429    4.487    0.122    0.023       49   24.816    0.620    3.437    0.105    0.025
